Interprete;Codigo;Nome;Trecho;Idioma
Biafra (Byafra);6435;SONHO DE ÍCARO;Voar voar subir subir ir por onde for;BRA
Billy Joel;4583;HONESTY;If you search for tenderness;EUA
Billy Joel;4601;PIANO MAN;It's nine o'clock on a Saturday;EUA
Biquini Cavadão;6475;TÉDIO;Alô sabe esses dias em que horas;BRA
Biquini Cavadão;3268;TIMIDEZ;Toda vez que te olho crio um romance;BRA
Biquini Cavadão;3287;VENTO E VENTANIA;Vento e ventania me leve;BRA
Biro do Cavaco;3570;JÉSSICA;Sem a gente esperar nasce uma;BRA
B.J.Thomas;4546;RAINDROPS KEEP FALLING ON MY HEAD;Raindrops keep falling on my head;EUA
B.J.Thomas;4761;ROCK AND ROLL LULLABY;She was just sixteen and all alone;EUA
Blitz;6041;A DOIS PASSOS DO PARAÍSO;Longe de casa há mais de uma semana;BRA
Blitz;3132;MAIS UMA DE AMOR;Perdi meu amor no paraíso;BRA
Blitz;3444;QUEM TEM PÕE;Eu moro longe não tenho carro;BRA
Blitz;3293;VOCÊ NÃO SOUBE ME AMAR;"Sabe essas noites que cê sai caminhando
";BRA
Blitz;3299;WEEKEND;Alô alô ativo ouvinte;BRA
Bobby Solo;3690;ZÍNGARA;Prendi questa mano zíngara;ITA
Bob Marley;4718;I SHOT THE SHERIFF;I shot the sheriff but I didn't shoot;EUA
Boi Bumbá Caprichoso;6049;BRASIS AMERÍNDIOS;América América Ybyrapytanga Araboutan;BRA
Boi Bumbá Garantido;6058;ETERNO CAMPEÃO;Garantido meu brinquedo de...;BRA
Bonde do Tigrão;6053;CEROL NA MÃO;Quer dançar quer dançar o Tigrão vai te;BRA
Boney M.;4760;RIVERS OF BABYLON;By the rivers of Babylon there we;EUA
Bozo;15201;1, 2, 3...VAMOS LÁ;Alô criançada o Bozo chegou trazendo alegria;BRA
Bozo;15271;SEMPRE RIR;Sempre rir sempre rir pra viver é melhor sempre rir;BRA
Braga Boys;6036;UMA BOMBA;Sensual O movimento sensual;BRA
Bread;4681;AUBREY;And Aubrey was her name and not so very;EUA
Bread;4682;BABY I'M A WANT YOU;Baby I'm a want you Baby I'm a need you;EUA
Bread;4521;IF;If a picture paints a thousand words;EUA
Bread;4735;MAKE IT WITH YOU;Hey, have you ever tried;EUA
Bread;4783;THE DIARY;I found her diary underneath a tree;EUA
Bread;4786;THE GUITAR MAN;Who draws the crowd and plays so loud;EUA
Bruno e Marrone;4302;AGARRADA EM MIM;Enquanto a cidade dorme eu aqui me;BRA
Bruno e Marrone;6484;AGORA VAI;Vai pode ir embora antes que a chuva caia;BRA
Bruno e Marrone;6448;BIJUTERIA;Quando a noite cai é que eu sinto a falta;BRA
Bruno e Marrone;6529;CREDO EM CRUZ AVE MARIA;Desce uma geladinha que hoje eu vou;BRA
Bruno e Marrone;15935;DORMI NA PRAÇA (VERSÃO ESTÚDIO);"Eu caminhei sozinho pela rua
";BRA
Bruno e Marrone;15232;JÁ NÃO SEI MAIS NADA;Eu não sei dizer se este amor;BRA
Bruno e Marrone;6615;LIGAÇÃO URBANA;Alô amor tô te ligando de um orelhão;BRA
Bruno e Marrone;6541;MENINA;Menina cada instante em minha vida;BRA
Bruno e Marrone;6431;PROGRAMA DE FIM DE SEMANA;Não me deixe fora da sua agenda;BRA
Bruno e Marrone;3938;TE AMO E NÃO TE QUERO;Pegue tudo aquilo que é seu;BRA
Bruno e Marrone;4300;VIDA VAZIA;Depois que você foi embora;BRA
